G_NUMBER	country	lineage	sublineage	isolation_date	new_id
G32123	Tanzania	L3	L3.1.1	14-04-2015	G32123/14-04-2015/1
G42459	Tanzania	L4	L4.1.2	16-04-2015	G42459/16-04-2015/1
G32115	Tanzania	L1	L1.2.2	16-04-2015	G32115/16-04-2015/1
G44610	Tanzania	L3	L3.1.1	16-04-2015	G44610/16-04-2015/1
G44616	Tanzania	L1	L1.1.2	17-04-2015	G44616/17-04-2015/1
G32158	Tanzania	L3	L3.1.1	22-04-2015	G32158/22-04-2015/1
G32297	Tanzania	L1	L1.1.2	22-04-2015	G32297/22-04-2015/1
G32197	Tanzania	L3	L3	23-04-2015	G32197/23-04-2015/1
G21825	Tanzania	L4	L4.3.2	05-05-2015	G21825/05-05-2015/1
G32130	Tanzania	L4	L4.3.3	06-05-2015	G32130/06-05-2015/1
G32259	Tanzania	L1	L1.2.2	22-05-2015	G32259/22-05-2015/1
G32271	Tanzania	L1	L1.1.2	13-05-2015	G32271/13-05-2015/1
G32283	Tanzania	L4	L4.1.1.3	14-05-2015	G32283/14-05-2015/1
G32289	Tanzania	L2	L2.2.1	15-05-2015	G32289/15-05-2015/1
G21779	Tanzania	L3	L3.1.1	20-05-2015	G21779/20-05-2015/1
G32133	Tanzania	L3	L3.1.2.1	21-05-2015	G32133/21-05-2015/1
G21789	Tanzania	L3	L3.1.1	26-05-2015	G21789/26-05-2015/1
G32274	Tanzania	L4	L4.3.3	03-06-2015	G32274/03-06-2015/1
G32269	Tanzania	L3	L3.1.1	04-06-2015	G32269/04-06-2015/1
G32214	Tanzania	L3	L3	04-06-2015	G32214/04-06-2015/1
G21781	Tanzania	L4		11-06-2015	G21781/11-06-2015/1
G32249	Tanzania	L4	L4.3.4.2	15-06-2015	G32249/15-06-2015/1
G21840	Tanzania	L3	L3.1.1	18-06-2015	G21840/18-06-2015/1
G32230	Tanzania	L3	L3.1.1	22-06-2015	G32230/22-06-2015/1
G32170	Tanzania	L2	L2.2.1	25-06-2015	G32170/25-06-2015/1
G32262	Tanzania	L3	L3.1.1	29-06-2015	G32262/29-06-2015/1
G21848	Tanzania	L3	L3.1.1	03-07-2015	G21848/03-07-2015/1
G32260	Tanzania	L3	L3.1.1	06-07-2015	G32260/06-07-2015/1
G32192	Tanzania	L1	L1.2.2	09-07-2015	G32192/09-07-2015/1
G32147	Tanzania	L4		14-07-2015	G32147/14-07-2015/1
G32282	Tanzania	L4		15-07-2015	G32282/15-07-2015/1
G21800	Tanzania	L3	L3.1.1	20-07-2015	G21800/20-07-2015/1
G32241	Tanzania	L4	L4.2.2	22-07-2015	G32241/22-07-2015/1
G25820	Tanzania	L3	L3.1.1	22-07-2015	G25820/22-07-2015/1
G32925	Tanzania	L3	L3.1.1	28-07-2015	G32925/28-07-2015/1
G21845	Tanzania	L3	L3.1.1	04-08-2015	G21845/04-08-2015/1
G44614	Tanzania	L3	L3.1.1	04-08-2015	G44614/04-08-2015/1
G21850	Tanzania	L4		14-08-2015	G21850/14-08-2015/1
G44599	Tanzania	L3	L3.1.1	24-08-2015	G44599/24-08-2015/1
G21827	Tanzania	L1	L1.1.3	31-08-2015	G21827/31-08-2015/1
G32263	Tanzania	L3	L3.1.1	08-09-2015	G32263/08-09-2015/1
G32126	Tanzania	L4	L4.3.3	10-09-2015	G32126/10-09-2015/1
G21836	Tanzania	L2	L2.2.1	11-09-2015	G21836/11-09-2015/1
G25813	Tanzania	L1	L1.1.2	16-09-2015	G25813/16-09-2015/1
G32124	Tanzania	L3	L3.1.1	16-09-2015	G32124/16-09-2015/1
G25808	Tanzania	L4	L4.3.4.2.1	29-09-2015	G25808/29-09-2015/1
G32137	Tanzania	L4		07-10-2015	G32137/07-10-2015/1
G25810	Tanzania	L3	L3.1.1	07-10-2015	G25810/07-10-2015/1
G32240	Tanzania	L1	L1.2.1	12-10-2015	G32240/12-10-2015/1
G36209	Tanzania	L3	L3.1.1	13-10-2015	G36209/13-10-2015/1
G32935	Tanzania	L3	L3.1.1	15-10-2015	G32935/15-10-2015/1
G32266	Tanzania	L3	L3.1.1	16-10-2015	G32266/16-10-2015/1
G32892	Tanzania	L3	L3.1.1	19-10-2015	G32892/19-10-2015/1
G44615	Tanzania	L4	L4.3.4.2.1	20-10-2015	G44615/20-10-2015/1
G32278	Tanzania	L4		28-10-2015	G32278/28-10-2015/1
G44635	Tanzania	L3	L3.1.1	28-10-2015	G44635/28-10-2015/1
G33410	Tanzania	L1	L1.1.2	29-10-2015	G33410/29-10-2015/1
